iso2,year,disabled
AF,2015,true
AL,2009,false
AM,2010,false
AO,2016,false
AT,,true
AU,,true
AZ,2006,false
BA,2012,false
BB,2012,false
BD,2014,false
BE,,true
BF,2010,false
BG,2012,true
BI,2010,false
BJ,2012,false
BO,2008,false
BR,2016,false
BT,2010,false
BW,2009,false
BY,2012,false
BZ,2011,false
CA,,true
CD,2014,false
CF,2010,false
CG,2012,false
CH,,true
CI,2012,false
CL,2013,false
CM,2015,false
CN,2014,false
CO,2015,false
CR,2011,false
CV,2007,false
CY,,true
CZ,2012,true
DE,,true
DJ,2006,false
DJ,2013,false
DK,,true
DO,2014,false
DZ,2013,true
EC,2013,false
EE,2012,false
EG,2014,true
ES,,true
ET,2011,false
FI,,true
FJ,2008,false
FM,2013,false
FR,,true
GA,2012,false
GB,,true
GH,2014,false
GM,2013,false
GN,2012,false
GR,,true
GT,2015,false
GT,,false
GW,2014,false
GY,2015,false
HN,2012,false
HR,2012,false
HT,2012,false
HU,2012,false
ID,2012,false
IE,,true
IL,,true
IN,2006,false
IQ,2011,true
IR,2013,false
IS,,true
IT,,true
JM,2011,false
JO,2012,true
KE,2014,false
KG,2014,false
KH,2014,false
KI,2006,false
KM,2012,false
KZ,2015,false
LA,2012,false
LC,2012,false
LK,2012,false
LR,2013,false
LS,2014,false
LT,2012,false
LU,,true
LV,2012,false
MA,2006,false
MD,2012,false
ME,2013,false
MG,2016,false
MK,2011,false
ML,2013,false
MM,2016,true
MN,2014,false
MR,2011,false
MU,2012,true
MV,2009,false
MW,2016,false
MX,,false
MY,2009,false
MZ,2011,false
NA,2013,false
NE,2012,false
NG,2013,false
NI,,false
NL,,true
NO,,true
NP,2014,false
PA,2013,false
PE,2012,false
PG,2009,false
PH,2013,false
PK,2013,false
PL,2013,false
PS,2014,false
PT,,true
PY,2013,false
RO,2013,false
RS,2014,false
RU,2012,false
RW,2015,false
SB,2005,false
SC,2013,false
SD,2014,false
SE,,true
SI,2012,false
SK,2012,false
SL,2013,false
SN,2015,false
SO,2006,true
SR,2010,false
SS,2010,false
ST,2014,false
SV,2013,false
SY,2006,true
SZ,2014,false
TD,2015,false
TG,2014,false
TH,2013,false
TJ,2012,false
TL,2010,false
TN,2012,false
TO,2009,false
TR,2013,false
TT,2006,false
TV,2010,false
TZ,2016,false
UA,2012,false
UG,2011,false
US,2013,true
UY,2013,false
UZ,2006,false
VE,2006,false
VN,2014,false
VU,2007,false
WS,2008,false
XK,2014,false
YE,2013,true
ZA,2011,false
ZM,2014,false
ZW,2015,false
